sdc_dealno,date,targetName,acquirorName,URL_found,IdentifiableIntangibleassetsI,Goodwill,totalDealValueFromFiling,TotalIIAifreportedasaggreg,InProcessRD,valuePatents,TrademarksTradenamesBrand,Technology,Workforce,Noncompeteagreements,MaintenanceSupportContracts,CustomerRelationshipscontract,Contractcontractualrights,Cashacquired,Backlog,IntellectualProperty,RoyaltyAgreement,Other,tgt_cik,origACQcik,acq_cik,acq_cik2,acq_cik3,acq_cik4,acq_cik5,RA,Notes,source,url10s_1,TargetCIK,AcquirerCIK,yearDeal,TargetIndustryGroup,AcquirorSICcode,ofOther,ofUnknown,bothGW_IIA_missing,fromRecent,hand_IIA,hand_GW,handChecked_2018
1648949,7/1/2005,Great Lakes Chemical Corp,Crompton Corp,https://www.sec.gov/Archives/edgar/data/1091862/000110465905054216/a05-19853_110q.htm,559,774.05,1852.624,,75.40000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,,0001091862,0001091862,,,,,Lincel,,Post2002collect,,,,2005,Manufacturing,2891,,,0,1,,,0
1649091,7/1/2005,Thomas Industries Inc,Gardner Denver Inc,https://www.sec.gov/Archives/edgar/data/916459/000095013705013559/c99837e10vq.txt,354.612,0,734.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0000916459,,,,,Lincel,,Post2002collect,,,,2005,Manufacturing,3563,,,1,1,354.612,0,1
1649957,5/2/2005,Ascential Software Corp,IBM Corp,https://www.sec.gov/Archives/edgar/data/51143/000110465905034155/a05-12302_410q.htm,102,639,1140,,0,0,0,56,0,0,0,46,0,0,0,0,0,0,,0000051143,0000051143,,,,,Lincel,,Post2002collect,,,,2005,Manufacturing,3571,,,0,1,,,0
1650527,9/21/2005,Medicore Inc,Dialysis Corp of America,https://www.sec.gov/Archives/edgar/data/201653/000114420405035053/v028995.htm,2.7365,0,10.050991,,0,0,0,0,0,0,0,0,0,2736500,0,0,0,0,,, 0000201653,,,,,Lincel,,Post2002collect,,,,2005,Manufacturing,8092,,,0,1,,,0
1650925,7/1/2005,Seabulk International Inc,SEACOR Holdings Inc,https://www.sec.gov/Archives/edgar/data/859598/000110465905037927/a05-14552_110q.htm,35,59.3,616.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0000859598,,,,,Lincel,,Post2002collect,,,,2005,Services,4412,47.22,,1,1,35,59.3,1
1651818,7/19/2005,Ask Jeeves Inc,IAC/InterActiveCorp,https://www.sec.gov/Archives/edgar/data/891103/000091205705000256/a2164849z10-q.htm,352.5,0,1700,,0,0,195.9,116.4,0,0,0,21.2,0,0,0,0,0,19000000,,0000891103,0000891103,,,,,Lincel,,Post2002collect,,,,2005,Services,7375,,,0,1,,,0
1651846,8/6/2005,Mykrolis Corp,Entegris Inc,https://www.sec.gov/Archives/edgar/data/1101302/000119312505231220/d10k.htm,75.8,333.189,644.998,,0,0,9,38.5,0,0,0,28.3,0,0,0,0,0,0,,,0001101302,,,,,Alexey,,Post2002collect,,,,2005,Manufacturing,3089,,,0,1,,,0
1651910,8/9/2005,Pinnacle Systems Inc,Avid Technology Inc,https://www.sec.gov/Archives/edgar/data/896841/000089684105000041/form10q_93005-3qtr.txt,0,0,434.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0000896841,,,,,Lincel,,Post2002collect,,,,2005,Manufacturing,3861,,,1,1,,,0
1653294,5/6/2005,Digital Impact Inc,Acxiom Corp,https://www.sec.gov/Archives/edgar/data/733269/000073326905000042/f10q.htm,47.825,100.45,133.633,,0,0,0,0,0,0,0,0,0,27025000,0,0,0,0,,,0000733269,,,,,Lincel,,Post2002collect,,,,2005,Services,7374,,,0,1,,,0
1655303,10/4/2005,RiceX Co,NutraCea Inc,https://www.sec.gov/Archives/edgar/data/1063537/000114036107006676/forms-1.htm,2,32.331,40.542,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,0001063537,,,,,Alexey,,Post2002collect,,,,2005,Manufacturing,2099,,,0,1,,,0
1656074,6/8/2005,Concord Communications Inc,Computer Assoc Intl Inc,https://www.sec.gov/Archives/edgar/data/356028/000095012305009661/y11633e10vq.htm,44,345,359,,4,0,3,18,0,0,0,19,0,0,0,0,0,0,,0000356028,0000356028,,,,,Lincel,,Post2002collect,,,,2005,Manufacturing,7372,,,0,1,,,0
1658081,12/3/2005,Macromedia Inc,Adobe Systems Inc,https://www.sec.gov/Archives/edgar/data/796343/000110465906024558/a06-8704_110q.htm,680.5,2026.315,3529.121,,0,0,130.7,0,0,.5,0,183.8,0,0,0,0,0,365500000,,0000796343,0000796343,,,,,Lincel,,Post2002collect,,,,2005,Manufacturing,7372,,,0,1,,,0
1659758,9/1/2005,Premcor Inc,Valero Energy Corp,https://www.sec.gov/Archives/edgar/data/1035002/000095013405020997/d30089e10vq.htm,5,2529,6116,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0001035002,0001035002,,,,,Lincel,,Post2002collect,,,,2005,Natural Resources,2911,20.78,,0,1,,,0
1662256,8/8/2005,SpectraSite Inc,American Tower Corp,https://www.sec.gov/Archives/edgar/data/1053507/000119312505221558/d10q.htm,1297.3,1505.908,3140.718,,0,0,0,0,0,0,0,1280,0,0,0,0,0,17300000,,0001053507,0001053507,,,,,Lincel,,Post2002collect,,,,2005,Services,4812,,,0,1,,,0
